Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Reign,Portfolio,Constiuent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Credit Line,Geography Type,City,State,County,Country,Classification
17.193.114,TRUE,465421,,Medieval Art,1917,Shell,Shell,Frankish,,,,,,,,,,,,500,699,Shell,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Miscellaneous-Shell
17.193.115,TRUE,465422,,Medieval Art,1917,Comb,One Edged Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.116,TRUE,465423,,Medieval Art,1917,Hairpin,Hairpin,Frankish,,,,,,,,,,,,600,699,Bronze,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Bronze
17.193.117,TRUE,465424,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.119,TRUE,465426,,Medieval Art,1917,Ring,Bezel Ring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.121,TRUE,465428,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,400,699,"Glass, amber","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.123,TRUE,465430,,Medieval Art,1917,Comb,Comb,Frankish,,,,,,,,,,,,500,600,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.124a-c,TRUE,465431,,Medieval Art,1917,Hairpin,Hairpin,Frankish,,,,,,,,,,,,500,700,Bronze-gilt,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Bronze
17.193.125,TRUE,465432,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.126,TRUE,465433,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.130,TRUE,465438,,Medieval Art,1917,Belt fittings,Belt Fitting,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.131,TRUE,465439,,Medieval Art,1917,Belt fittings,Belt Fitting,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.132,TRUE,465440,,Medieval Art,1917,Belt fitting,Belt Fitting,Frankish,,,,,,,,,,,,500,699,Copper alloy (?),"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.133,TRUE,465441,,Medieval Art,1917,Belt fitting,Belt Fitting,Frankish,,,,,,,,,,,,500,699,Copper alloy (?),"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.134,TRUE,465442,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,600,Glass,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.138,TRUE,465448,,Medieval Art,1917,Ring,Plain Ring,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.139,TRUE,465449,,Medieval Art,1917,Tweezers,Tweezers,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.141,TRUE,465452,,Medieval Art,1917,Mount,Fermoir,Frankish,,,,,,,,,,,,500,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.142,TRUE,465453,,Medieval Art,1917,Scraper,Scraper,Frankish,,,,,,,,,,,,500,700,Flint,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Miscellaneous-Stone
"17.193.147a, b",TRUE,465458,,Medieval Art,1917,Spearhead,Small Spearhead,Frankish,,,,,,,,,,,,500,600,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.148,TRUE,465459,,Medieval Art,1917,Comb,One Edged Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.150,TRUE,465462,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,,,Niederbreisig,Germany,Metalwork-Copper alloy
17.193.151,TRUE,465463,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.152,TRUE,465464,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.154,TRUE,465466,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.158,TRUE,465470,,Medieval Art,1917,Boss,Small Hollow Boss,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.159,TRUE,465471,,Medieval Art,1917,Boss,Pyramidal Hollow Boss,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.166,TRUE,465479,,Medieval Art,1917,Javelin head,Javelin Head,Frankish,,,,,,,,,,,,500,600,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.167,TRUE,465480,,Medieval Art,1917,Buckle,Elongated Buckle,Langobardic or Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.170,TRUE,465484,,Medieval Art,1917,Tweezers,Tweezers,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.172,TRUE,465487,,Medieval Art,1917,Scraper,Scraper,Neolithic,,,,,,,,,,,,500,600,Flint,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Miscellaneous-Stone
17.193.173,TRUE,465488,,Medieval Art,1917,Hairpin,Hairpin,Frankish,,,,,,,,,,,,500,600,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.174,TRUE,465489,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.175,TRUE,465490,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.176,TRUE,465491,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.179,TRUE,465494,,Medieval Art,1917,Loop,Buckle Loop,Frankish,,,,,,,,,,,,500,700,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.185,TRUE,465501,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
"17.193.190a, b",TRUE,465507,,Medieval Art,1917,Mount,Fermoir,Frankish,,,,,,,,,,,,500,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.192,TRUE,465509,,Medieval Art,1917,Tweezers,Tweezers,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.196,TRUE,465513,,Medieval Art,1917,Pebble,Pebble,Frankish,,,,,,,,,,,,500,700,Flint,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Miscellaneous-Stone
17.193.197,TRUE,465514,,Medieval Art,1917,Mount,Sword Sheath Mount,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.199,TRUE,465516,,Medieval Art,1917,Plaque,Lozenge-Shaped Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.2,TRUE,465517,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.200,TRUE,465519,,Medieval Art,1917,Plaque,Square Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.201,TRUE,465520,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.202,TRUE,465521,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.203,TRUE,465522,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.204,TRUE,465523,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.205,TRUE,465524,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.207,TRUE,465526,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.210,TRUE,465530,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.213,TRUE,465533,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,500,699,Copper alloy with traces of wood on back,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.214,TRUE,465534,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,600,"Glass, amber, shell, glazed earthenware (faience)","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.215,TRUE,465535,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.218,TRUE,465538,,Medieval Art,1917,Ring,Finger Ring,Frankish,,,,,,,,,,,,600,699,copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper
17.193.220,TRUE,465541,,Medieval Art,1917,Plaque,Openwork Plaque,Frankish,,,,,,,,,,,,550,650,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.221,TRUE,465542,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.222,TRUE,465543,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,530,"Glass, glazed earthenware (faience)","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.224,TRUE,465545,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.225,TRUE,465546,,Medieval Art,1917,Plaque,Plaque,Frankish,,,,,,,,,,,,600,699,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.226,TRUE,465547,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.227,TRUE,465548,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,600,699,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.230,TRUE,465552,,Medieval Art,1917,Mount,Fermoir,Frankish,,,,,,,,,,,,500,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.231,TRUE,465553,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,600,"Glass, agate, shell, glazed earthenware (faience)","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.232,TRUE,465554,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.233,TRUE,465555,,Medieval Art,1917,Buckle,Buckle,Frankish,,,,,,,,,,,,545,555,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niderbreisig,,,Germany,Metalwork-Copper alloy
17.193.235,TRUE,465558,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.236,TRUE,465559,,Medieval Art,1917,Ferret,Ferret,Late Roman,,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in|Made in,,|,Gaul|Niederbreisig,Germany,Metalwork-Bronze
17.193.237,TRUE,465560,,Medieval Art,1917,Ferret,Ferret,Late Roman,,,,,,,,,,,,500,600,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in|Made in,Niederbreisig,|,Gaul,Germany,Metalwork-Bronze
17.193.238,TRUE,465561,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.241,TRUE,465565,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.244,TRUE,465568,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.245,TRUE,465569,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.246,TRUE,465570,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.247,TRUE,465571,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,600,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.248,TRUE,465572,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.249,TRUE,465573,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.250,TRUE,465575,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.252,TRUE,465577,,Medieval Art,1917,Ring,Plain Ring,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.260,TRUE,465586,,Medieval Art,1917,Tweezers,Tweezers,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.261,TRUE,465587,,Medieval Art,1917,Ring,Finger Ring,Byzantine,,,,,,,,,,,,600,699,Electrum,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Electrum
17.193.264,TRUE,465590,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,600,"Glass, glazed earthenware (faience)","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.265,TRUE,465591,,Medieval Art,1917,Key,Key,Frankish,,,,,,,,,,,,600,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.266,TRUE,465592,,Medieval Art,1917,Bead,Bead,Frankish,,,,,,,,,,,,500,600,Stone,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ceramics
17.193.267,TRUE,465593,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.268,TRUE,465594,,Medieval Art,1917,Shell,Shell,Frankish,,,,,,,,,,,,500,699,Shell,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Miscellaneous-Shell
17.193.270,TRUE,465597,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.271,TRUE,465598,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
17.193.275,TRUE,465602,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.276,TRUE,465603,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.277,TRUE,465604,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.278,TRUE,465605,,Medieval Art,1917,Bell,Square Pyramidal Bell,Frankish (?),,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.280,TRUE,465608,,Medieval Art,1917,Belt ornament (?),Belt Ornament (?),Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.281,TRUE,465609,,Medieval Art,1917,Belt ornament (?),Belt Ornament (?),Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.283,TRUE,465611,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,600,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.287,TRUE,465615,,Medieval Art,1917,Scissors,Scissors,Frankish,,,,,,,,,,,,600,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Iron
17.193.289,TRUE,465617,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,500,600,"Glass, banded agate","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.291,TRUE,465620,,Medieval Art,1917,Hairpin,Hairpin,Frankish,,,,,,,,,,,,600,699,Bronze,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Bronze
17.193.294,TRUE,465624,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.297,TRUE,465627,,Medieval Art,1917,Buckle,Buckle,Frankish,,,,,,,,,,,,500,725,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.298,TRUE,465628,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.299,TRUE,465629,,Medieval Art,1917,Necklace,Beaded Necklace,Frankish,,,,,,,,,,,,600,700,"Glass, amber, shell, calcite","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
17.193.3,TRUE,465630,,Medieval Art,1917,Earring,Earring,Frankish,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Silver
"17.193.30a, b",TRUE,465631,,Medieval Art,1917,Buckle,Buckle,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.300,TRUE,465632,,Medieval Art,1917,Stud,Small Circular Stud,Frankish,,,,,,,,,,,,600,649,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,Rhine,Germany,Metalwork-Copper alloy
17.193.301,TRUE,465633,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.303,TRUE,465636,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,500,600,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.304,TRUE,465637,,Medieval Art,1917,Stud,Small Circular Stud,Frankish,,,,,,,,,,,,600,649,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,Rhine,Germany,Metalwork-Copper alloy
17.193.305,TRUE,465638,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,"Copper alloy, silvered","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.306,TRUE,465639,,Medieval Art,1917,Comb,Double-Sided Comb,Frankish,,,,,,,,,,,,600,699,"Bone, iron pins","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.307,TRUE,465640,,Medieval Art,1917,Brooch,Equal-Arm Brooch,Frankish,,,,,,,,,,,,650,750,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.309,TRUE,465643,,Medieval Art,1917,Plaque,Triangular Plaque,Frankish,,,,,,,,,,,,500,700,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.31,TRUE,465644,,Medieval Art,1917,Cylinder,Cylindrical Pendant,Frankish,,,,,,,,,,,,500,699,Bone,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Ivories-Bone
17.193.310,TRUE,465645,,Medieval Art,1917,Plaque,Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.311,TRUE,465646,,Medieval Art,1917,Mount,Fermoir,Frankish,,,,,,,,,,,,500,699,Iron,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,Rhineland,Germany,Metalwork-Iron
17.193.312,TRUE,465647,,Medieval Art,1917,Plaque,Rectangular Plaque,Frankish,,,,,,,,,,,,545,555,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.313,TRUE,465648,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.314,TRUE,465649,,Medieval Art,1917,Ferret,Ferret,Frankish,,,,,,,,,,,,600,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Metalwork-Copper alloy
17.193.317,TRUE,465652,,Medieval Art,1917,Bracteate,Bracteate,Frankish,,,,,,,,,,,,500,699,Copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,,,,Germany,Metalwork-Copper alloy
